Station number: 420
Location:       Kotagaon Shringe                                                  Latitude: 27 45 00
River:          Kali Gandaki                                                     Longitude: 84 20 50



                           AVERAGE MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964        144    122   89.2    100    116    257   1320   1510   1240    492    244    158    482
1965        121    106   91.7    108    113    320    749   1380    742    311    209    138    366
1966        111   98.7   88.0   83.2    115    301    894   1570    917    297    185    126    399
1967       94.3   79.8   73.4   82.7   97.5    283    855   1040    757    310    163    113    329
1968       92.1   76.4   74.3   75.0    109    390   1380   1360    875   1050    279    173    494
1969        129    102   95.0   91.1    122    266    794   1090   1120    393    206    124    378
1970       94.9   77.2   65.0   82.3    114    610   1570   1680    788    395    200    126    483
1971       93.2   74.1   73.0    109    168    655   1030   1420    788    516    241    138    442
1972       99.3   82.6   74.1   69.5    103    249   1130   1050    872    316    201    137    365
1973        114   97.9    103    115    172    491    892   1430   1570   1480    320    189    580
1974        142    110   97.5    114    156    237   1110   2030    932    412    224    146    477
1975        117   94.7   83.6    101    145    477   1710   1390   1300    482    220    140    521
1976        108   88.3   71.9   76.7    124    344    878   1070    947    386    236    153    373
1977        121    102   90.9    113    149    249    990   1880    897    400    247    163    450
1978        132    114    108    133    261    734   1550   1570    830    420    231    157    520
1979        115    105   82.7    105    136    266    924   1390    617    301    180    136    363
1980       94.5   79.3   74.5   81.6    131    415   1390   1420   1310    345    186    115    470
1981       87.9   74.2   67.0   96.4    140    252   1120   1380   1030    469    233    152    425
1982       ...     109   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1983       88.1   75.6   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1984       92.7   66.8   59.1   54.8    116    353   1460    991   1210    311    178    135    419
1985        105   88.2   85.6   79.7    115    234   1110    840   1140    580    272    181    403
1986       ...    ...    89.8   99.6    122    580   1380    989   1560    526    270    194   ... 
1987        143    119    113    122    147    301   1570   1510    691    301    200    151    447
1988        112   94.8   89.6    105    137    230   1200   1880   1320    461    314    259    517
1989        130   61.5   57.3   55.7    101    188   1590   2300   1010    443    238    162    528
1990        111   79.9   77.8   75.8          ...    1700   1470    820    384    212    138   ... 
1991        111   80.3   77.8   76.0    136    353   1050   1530   1240    356    231    163    450
1992        131    105   86.5   85.5    113    212    494   1400    663    349    206    137    332
1993       97.2   78.1   65.5   81.0    160    292    648   1820   1840    476    233    144    495
1994        106   84.3   68.0   59.7    115    473    936   1310    866    336    205    134    391
1995       99.0   81.2   77.6   86.3    190    837   2060   1700    975    365    258    145    573
1996        106    107   90.7   78.7    117    340   1460   1740   1050    656    232    136    510
1997        101   77.9   68.3   83.1    115    291   1490   1240    612    301    195    205    399
1998        128    102   98.3    124    208    535   1900   2710   1220    446    236    153    655
1999        117   92.9   77.4   94.5   ...    ...    1290   1840   1120    547    229    142   ... 
2000        108   88.6   75.3    103    183    814   ...    ...    1320    350    206    135   ... 
2001        104   88.5   75.3   77.7    146    428   1120   1940   1040    308    197    137    471
2002        113   ...    ...     118    186    303   1080   1180    596    295    191    120   ... 
2003       ...    ...    91.8    105    123    437   1310   1520   1240    429    232    156   ... 
2004        124    111    104    108    132    281    910    919    737    430    218    149    352
2005        122    109    101    100    137    219    935   1010    560    397    227    149    339
2006        119    106   96.8    105    185    340    799    768    638    286    172    127    312
---------------------------------------------------------------------------------------------------
Average:    112   92.2   83.2   93.1    136    380   1190   1460   1000    442    223    150    443
---------------------------------------------------------------------------------------------------

