Station number: 420
Location:       Kotagaon Shringe                                                  Latitude: 27 45 00
River:          Kali Gandaki                                                     Longitude: 84 20 50



                           MAXIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964        177    134    105    125    149    636   3060   2980   2070    839    321    181   3060
1965        134    113    100    145    138    981   1720   4440   1310    417    253    162   4440
1966        126    117   93.7   88.9    172    727   1570   3040   2520    396    221    150   3040
1967        108   82.9   76.4    117    128    625   1790   1490   1120    491    202    134   1790
1968        110   98.7   82.9   82.9    202   1040   2830   1540   1220   5620    367    206   5620
1969        151    111    111    110    189    487   1490   2240   1600    648    266    153   2240
1970        104   89.0   75.5    160    164   4180   3920   2930   1230    628    255    145   4180
1971        105   89.8   89.8    213    236   1130   1920   2320   1340   1610    338    170   2320
1972        116    107    101   84.4    164    579   3440   1600   1590    439    262    160   3440
1973        123    112    135    172    295   1010   1980   2650   4790   6010    443    232   6010
1974        159    121    107    139    279    372   4060   4520   1680    619    288    170   4520
1975        136    120    110    153    275   1180   6780   3820   3290    753    281    166   6780
1976        118    110   81.2    122    161   1340   1340   2730   2020    557    279    181   2730
1977        128    110    104    164    220    531   1400   3920   1660    561    308    196   3920
1978        153    142    128    206    382   1790   2870   3620   1490    716    279    189   3620
1979        128    131   90.4    149    224    742   1990   2130   1070    382    215    208   2130
1980        128   84.7   90.4    110    189   1390   2710   2240   5680    555    230    141   5680
1981       99.1   85.1   88.4    239    190   1100   3840   3500   4180   1250    323    180   4180
1982        168    126   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1983       96.7   87.3   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1984        110   75.9   66.1   82.6    250    527   3030   2020   3810    455    196    153   3810
1985        125   92.9   99.6    108    174    500   1690   1670   2450   1250    352    244   2450
1986       ...     126   98.6    128    180   2720   3230   1800   4530    968    326    240   ... 
1987        166    126    128    192    185    532   3680   3760   1350    618    234    176   3760
1988        128    101    103    129    188    412   2210   3590   3230    609    361    345   3590
1989        265   72.0   64.9   67.9    244    494   6280   4400   1300    803    293    192   6280
1990        155   91.7   91.7    104    140    871   3880   4650   1450    570    258    168   4650
1991        155   91.7   91.7    104    189    669   2210   2660   2190    473    273    188   2660
1992        148    128   98.0    102    148    433   1050   3040   1620    531    255    166   3040
1993        116   94.0    116    172    265    455   1310   3700   6840    829    297    177   6840
1994        123    113   77.4   82.0    230    949   1920   2260   1690    466    258    160   2260
1995        114   96.0    168    134    300   2660   5810   2350   2070    535    736    182   5810
1996        160    194    114    104    179    738   5340   3800   2140   1230    302    165   5340
1997        126   89.6   81.6    121    160    708   2750   2940    813    449    234    458   2940
1998        155    112    116    171    265   1740   5730   4450   3320    685    298    184   5730
1999        129    109   83.8    127   ...    ...    2420   4290   2270   1040    319    173   ... 
2000        120   99.1   79.3    136    319   2490   ...    ...    2570    517    251    158   ... 
2001        123   99.3   85.9    109    176    803   4290   5100   2190    406    232    158   5100
2002        147   ...    ...     166    279    455   2730   2310   1020    437    267    155   ... 
2003       ...    ...     118    144    192   1400   3060   3470   2270   1070    298    201   ... 
2004        159    128    125    134    247    714   2400   2020   2000    789    285    180   2400
2005        142    126    120    147    187    452   1510   2020    798    888    310    179   2020
2006        146    121    145    140    349    553   1600   1810   1070    383    218    148   1810
---------------------------------------------------------------------------------------------------
Extreme:    265    194    168    239    382   4180   6780   5100   6840   6010    736    458   6840
---------------------------------------------------------------------------------------------------

