Station number: 420
Location:       Kotagaon Shringe                                                  Latitude: 27 45 00
River:          Kali Gandaki                                                     Longitude: 84 20 50



                           MINIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964        131    104   86.0   88.0   76.8   80.6    452    945    830    323    183    135   76.8
1965        109    100   82.9   90.1   96.1    136    515    793    442    240    164    120   82.9
1966        101   92.5   82.9   77.5   85.3    138    402    940    405    223    150    109   77.5
1967       84.1   75.3   71.0   65.9   74.2    109    329    719    536    202    132   98.7   65.9
1968       80.8   69.0   70.0   67.9   80.8    128    579   1070    723    374    211    147   67.9
1969        111   92.4   83.1   80.7   88.4    131    280    697    699    269    155    105   80.7
1970       87.5   69.1   59.7   57.4   80.6   81.9    636    688    603    265    147    107   57.4
1971       83.1   67.7   66.6   69.9    113    183    688    818    455    343    162    116   66.6
1972       85.8   72.2   65.5   63.3   65.5    108    323    602    468    235    162    119   63.3
1973        105   90.1   92.5   98.7    122    160    515    854    821    455    234    157   90.1
1974        124   97.9   90.7   95.5    115    145    523    920    591    290    173    125   90.7
1975        107   81.9   77.1   79.5   96.4    138    959    761    678    291    168    119   77.1
1976       96.6   74.7   66.1   63.7   89.2    150    530    670    531    282    185    128   63.7
1977        110   90.4   84.7   94.6    111    156    407   1070    494    289    198    142   84.7
1978        116    107   97.5   96.0    156    305    892    742    673    284    181    130   96.0
1979        104   93.2   76.8   80.6   87.5   87.5    357   1040    331    218    149    118   76.8
1980       74.2   72.9   65.6   66.8   90.4    147    546    887    553    234    143   93.0   65.6
1981       81.7   66.3   61.5   62.4    104    118    555    823    474    286    182    131   61.5
1982       ...    96.7   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1983       81.7   68.3   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1984       75.9   59.3   53.7   46.5   63.7    178    561    520    477    198    157    112   46.5
1985       92.2   83.9   72.2   69.2   81.9    124    447    563    690    367    212    149   69.2
1986       ...    ...    78.3   79.5   95.7    102    729    688    764    332    217    166   ... 
1987        126    110    105   99.3    120    206    421    897    398    239    172    126   99.3
1988       96.6   89.2   81.2   78.6    103    131    338    977    637    364    274    229   78.6
1989       72.0   55.4   53.5   49.3   48.5    110    468   1240    751    306    202    132   48.5
1990       94.9   73.0   71.6   61.7   ...    ...     499    888    587    264    171    117   ... 
1991       94.9   73.0   71.6   64.3   78.8    109    618    751    507    275    193    144   64.3
1992        116   90.0   75.5   77.0   94.0    112    265    641    425    260    162    108   75.5
1993       86.0   66.5   53.3   52.0    116    168    435   1190    756    293    182    115   52.0
1994       85.2   71.6   60.4   49.0   60.4    192    519    813    477    270    164    108   49.0
1995       82.0   74.0   61.1   63.7   98.0    220    994   1270    507    258    185    115   61.1
1996       92.7   81.6   73.8   65.3   83.1    117    448    870    572    308    167    112   65.3
1997       91.1   68.6   59.6   64.0   83.1    124    599    643    433    241    166    155   59.6
1998        110   92.6   91.2    102    140    201   1080   1160    535    302    187    130   91.2
1999        103   85.2   67.2   77.3   ...    ...     433    799    691    311    174    122   ... 
2000       94.8   76.7   71.9   78.0    111    200   ...    ...     526    251    161    118   ... 
2001       91.8   82.0   69.5   67.9    119    182    414    898    403    234    159    117   67.9
2002       78.0   ...    ...    91.3   99.4    168    428    643    434    208    141   82.4   ... 
2003       ...    ...    64.7   80.3   79.3    195    736    947    850    254    180    115   ... 
2004        102   85.1   73.9   73.1   66.0    141    270    609    455    257    164    104   66.0
2005       96.2   92.0   79.3   75.7   94.8   92.7    445    652    377    292    176    119   75.7
2006       96.8   92.1   75.4   76.1    104    208    386    466    397    209    130    102   75.4
---------------------------------------------------------------------------------------------------
Extreme:   72.0   55.4   53.3   46.5   48.5   80.6    265    466    331    198    130   82.4   46.5
---------------------------------------------------------------------------------------------------

