Station number: 430
Location:       Phoolbari                                                         Latitude: 28 14 00
River:          Seti River                                                       Longitude: 84 00 00



                           AVERAGE MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964       14.7   14.4   14.3   15.0   29.4   32.8   55.2    180    127   46.4   34.4   23.6   49.0
1965       15.9   14.0   14.1   15.3   16.8   62.4    119    149   77.7   27.1   20.9   14.8   45.6
1966       12.0   11.0   10.5   9.83   11.0   27.3   92.4    106   66.2   28.5   17.8   12.4   33.7
1967       10.4   10.4   10.1   11.2   11.9   25.1   98.5   98.4   87.1   39.9   24.8   20.2   37.3
1968       11.0   8.58   10.9   11.2   16.8   67.6    150    132    106    162   34.8   20.7   61.0
1969       16.3   13.1   13.6   13.4   14.9   29.0   81.1    153    136   55.3   30.0   19.2   47.9
1970       14.6   12.3   11.5   13.5   16.6   43.2    172    187   99.6   51.9   27.0   15.8   55.5
1971       11.1   8.62   8.68   13.7   18.6   90.4    130    138    103   72.0   32.5   18.9   53.9
1972       12.1   9.45   8.98   9.56   25.4   51.8    151    161    111   48.6   22.9   14.8   52.2
1973       11.2   7.97   8.13   11.5   17.3   77.7    108    170    117    115   29.1   14.1   57.3
1974       13.2   11.8   11.4   14.8   13.9   37.4    157    169    101   54.7   20.3   16.2   51.7
1975       15.7   15.3   14.3   10.8   11.3   35.9    169    130    121   57.3   24.6   14.4   51.7
1976       10.5   10.9   9.27   11.7   19.1   76.8    159    146   95.0   42.1   21.8   16.9   51.6
1977       11.1   9.79   9.96   15.0   23.0   43.8    124    175    108   52.3   36.0   21.5   52.5
1978       18.2   17.7   15.0   14.2   35.8   67.0    143    129   83.8   42.9   22.9   17.3   50.6
1979       13.4   11.5   10.6   13.8   18.2   31.3    104    134   75.2   40.2   22.5   14.9   40.8
1980       9.82   9.09   10.3   10.9   17.7   59.6    160    148    121   42.5   24.9   15.1   52.4
1981       10.6   8.62   9.54   16.8   21.8   44.7    160    148    111   41.3   16.6   12.9   50.2
1982       11.9   10.8   13.0   14.9   18.9   38.7    111    168    102   35.9   21.4   18.6   47.1
1983       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1984       14.7   12.2   12.0   12.9   23.0   53.6    155    118    105   35.0   21.2   16.0   48.2
---------------------------------------------------------------------------------------------------
Average:   12.9   11.4   11.3   13.0   19.1   49.8    130    147    103   54.5   25.3   16.9   49.5
---------------------------------------------------------------------------------------------------

