Station number: 430
Location:       Phoolbari                                                         Latitude: 28 14 00
River:          Seti River                                                       Longitude: 84 00 00



                           MAXIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964       15.2   14.7   14.3   18.7   35.2   44.2    120    270    164   80.1   44.2   29.7    270
1965       17.0   14.7   14.7   16.2   18.7    127    158    198    145   38.2   42.0   16.2    198
1966       13.1   11.5   10.8   10.5   12.5   72.8    219    186    134   40.6   20.0   14.3    219
1967       11.8   10.8   11.2   14.3   14.3   64.1    188    150    156   58.6   29.4   23.2    188
1968       12.1   10.0   15.3   12.8   23.2    128    244    212    150    648   45.6   24.2    648
1969       18.3   14.4   16.6   14.8   17.4   43.3    127    241    193   84.8   38.9   24.5    241
1970       15.5   13.4   12.1   20.7   21.8    230    489    515    136   97.5   34.2   19.3    515
1971       13.0   9.94   9.59   28.0   24.0    199    201    223    160    108   46.2   26.2    223
1972       14.2   10.3   10.3   13.0   78.8    138    296    432    181   77.2   30.3   16.1    432
1973       13.6   8.97   9.93   13.6   41.9    201    204    395    199    561   38.9   18.8    561
1974       17.0   13.4   13.4   19.7   18.3    140    586    586    146   66.8   31.4   17.9    586
1975       17.0   17.0   15.7   12.7   12.7    233    339    344    197   80.7   36.6   17.4    344
1976       11.6   12.7   11.2   26.6   24.6    217    363    349    180   56.7   29.8   21.1    363
1977       13.1   10.9   14.0   23.1   51.2   66.8    213    487    160   74.4   53.9   26.6    487
1978       21.1   23.6   19.7   23.6   54.6    130    218    224    124   70.8   24.7   21.7    224
1979       15.2   14.4   14.0   22.7   30.3   98.0    191    181    127   69.9   28.6   19.2    191
1980       11.3   9.61   16.1   14.8   34.7    147    254    223    188   72.6   28.6   17.9    254
1981       12.1   8.97   20.7   26.4   35.3    151    280    191    156   68.2   24.5   13.4    280
1982       12.5   11.0   15.5   16.9   22.3   67.3    230    227    160   58.7   26.4   19.2    230
1983       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1984       16.1   13.2   14.0   17.9   37.2    113    180    165    162   47.0   28.6   19.2    180
---------------------------------------------------------------------------------------------------
Extreme:   21.1   23.6   20.7   28.0   78.8    233    586    586    199    648   53.9   29.7    648
---------------------------------------------------------------------------------------------------

