Station number: 430
Location:       Phoolbari                                                         Latitude: 28 14 00
River:          Seti River                                                       Longitude: 84 00 00



                           MINIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964       14.3   14.3   13.9   14.3   21.3   28.0   30.9    120   68.0   30.3   29.7   16.6   13.9
1965       15.0   13.5   13.1   14.3   15.8   17.9   94.7    120   35.8   20.4   16.6   13.5   13.1
1966       11.2   10.8   9.88   9.08   9.61   12.8   39.8   57.0   37.8   20.0   14.7   11.5   9.08
1967       9.61   9.35   9.35   9.35   10.5   12.5   45.6   73.2   59.4   29.4   22.7   18.3   9.35
1968       9.30   7.56   9.01   9.30   12.5   24.3    102    108   78.2   24.7   25.3   17.9   7.56
1969       14.4   12.1   11.7   12.5   12.5   16.6   32.8    129   95.4   39.6   25.1   15.5   11.7
1970       13.4   11.3   11.0   10.6   13.4   13.4   55.0    115   75.8   34.9   19.7   13.0   10.6
1971       9.24   7.61   7.90   8.89   15.1   25.1   92.1    107   57.5   47.8   26.2   14.2   7.61
1972       9.94   8.54   7.90   8.54   9.94   18.3   60.1   85.2   69.9   30.9   15.7   13.6   7.90
1973       9.29   6.61   6.88   8.65   11.7   19.2   70.8   89.3   85.2   36.9   19.3   11.0   6.61
1974       11.7   10.3   10.3   11.7   9.94   13.8   76.8   99.8   73.6   39.6   16.5   14.0   9.94
1975       14.8   14.4   12.7   8.69   10.1   11.2    103   78.3   76.8   37.2   17.9   11.2   8.69
1976       9.77   9.77   8.37   8.37   15.2   23.1   73.6    106   62.4   27.2   18.3   13.6   8.37
1977       9.77   9.05   8.69   10.9   11.2   30.9   54.6    114   63.8   38.4   25.1   17.4   8.69
1978       15.7   14.0   12.3   11.9   22.6   40.3    106   80.2   59.6   22.2   19.7   15.2   11.9
1979       11.7   10.3   9.93   10.9   13.6   14.0   51.6    109   36.6   29.1   17.4   11.7   9.93
1980       8.97   8.65   8.65   8.65   12.1   17.9   98.0    111   69.9   29.7   18.3   11.7   8.65
1981       9.29   8.00   7.14   10.6   17.4   24.7    117    120   65.5   25.6   13.8   12.5   7.14
1982       11.0   10.3   10.3   14.2   16.9   21.2   33.5    118   62.1   26.4   19.2   17.9   10.3
1983       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1984       13.2   11.3   10.9   10.9   14.8   27.5    119   95.5   49.3   26.4   14.8   12.8   10.9
---------------------------------------------------------------------------------------------------
Extreme:   8.97   6.61   6.88   8.37   9.61   11.2   30.9   57.0   35.8   20.0   13.8   11.0   6.61
---------------------------------------------------------------------------------------------------

