Station number: 445
Location:       Arughat                                                           Latitude: 28 02 37
River:          Burhi Gandaki                                                    Longitude: 84 48 59



                           AVERAGE MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964       35.4   27.9   28.4   49.9   52.5    187   426    446     344    174   84.7   49.7    159
1965       34.0   26.3   26.4   71.8    139    247    390    454    282    124   84.7   52.6    161
1966       39.0   35.5   35.2   55.3    105    203    402    520    298    124   67.1   41.1    160
1967       28.4   23.5   23.8   43.8   50.0    142    387    360    240    123   58.5   37.2    126
1968       29.1   24.2   35.6   51.7   89.5    230    426   ...    ...    ...    ...    ...    ... 
1969       38.5   31.8   35.8   51.5   89.7    181    340    330    270    128   69.3   47.4    134
1970       35.1   29.8   31.7   64.4   92.4    192    364    370    272    176    101   73.8    150
1971       39.4   32.5   34.5   68.0   91.0    302    359    359    251    162   96.0   55.8    154
1972       37.6   28.2   46.8   55.9    132    184    336    395    265    161    114   74.3    153
1973       46.6   39.3   53.2   95.1    125    305    367    407    317    258    105   53.9    181
1974       39.5   32.5   31.8   58.5   75.6    175    361    450    283    170   92.9   53.3    152
1975       45.1   38.6   46.2   82.0    135    249    413    373    359    223    107   57.8    177
1976       37.3   32.2   35.9   57.3    120    219    345    400    275    153   94.8   51.9    152
1977       32.2   29.8   30.8   43.4   91.1    192    468    464    308    143    105   55.6    164
1978       39.1   33.3   40.7   76.8    162    262    408    442    301    204   95.8   57.1    177
1979       39.6   30.9   32.4   70.4    114    218    406    420    255                                                                             147   83.2   51.6    156
1980       33.1   28.5   38.0   63.8    114    234    483    473    336    157   89.1   59.4    176
1981       43.1   40.6   40.7   80.9    119    262    457    447    302    168   82.2   51.5    174
1982       37.9   35.5   49.9   96.7    122    267    385    380    311    132   76.4   49.8    162
1983       37.8   30.8   35.7   45.9    108    177    320    388    358    215   98.6   55.9    156
1984       40.8   32.7   39.2   50.5    120    248    415    358    379    193   71.1   44.9    166
1985       32.7   31.4   40.2   48.6   64.2    152    391    338    330    209    104   55.9    150
1986       39.3   31.3   33.7   56.7   66.1    247    407    346    295    140   78.9   47.3    149
1987       35.4   31.8   33.3   55.8   77.7    193    429    432    288    136   84.2   46.6    154
1988       32.1   27.4   30.4   63.7    115    203    453    484    279    125   67.8   48.4    161
1989       46.1   38.5   46.3   64.0    138    221    366    409    438    188   76.9   48.1    173
1990       36.8   30.9   34.5   63.9    112    260    470    425    344    152   76.3   46.7    171
1991       34.2   28.4   34.4   49.8    116    236    378    515    362    132   64.9   42.4    166
1992       31.8   26.5   33.2   50.4   69.7    154    291    483    308    131   68.1   42.4    141
1993       32.5   30.1   27.3   52.9    112    201    368    496    365    166   76.9   45.4    164
1994       32.2   27.9   35.4   38.0   88.5    245    385    419    300    110   58.2   39.7    149
1995       31.1   29.0   37.8   62.7   184     339    417    488    294    126   76.8   47.7    180
1996       35.1   33.4   43.5   55.3    120    244    436    508    345    134   74.7   48.2    173
1997       35.2   30.1   36.4   44.0   72.6    189    418    374    276    91.6   54.1   48.0    139
1998       48.3   43.0   47.9   76.0    156    264    477    570    315    152   60.6   37.2    187
1999       26.0   21.2   23.2   46.8   90.4    258    570    597    413    204   97.1   51.7    200
2000       34.1   28.1   29.4   59.5    130    390    530    581    460    143   78.3   48.4    209
2001       37.1   31.0   29.0   40.4   98.8    290    480    514    338    139   66.3   46.9    176
2002       33.4   29.8   36.4   67.2    127    234    445    495    308    142   74.4   53.2    170
2003       38.9   34.2   39.8   74.6   90.0    255    518    477    414    146   73.3   46.5    184
2004       33.7   28.9   35.7   43.8   88.8    205    413    468    289    175   73.8   48.0    159
2005       34.2   28.7   35.2   52.1   87.6    106    419    459    242    123   70.4   43.6    142
2006       31.4   28.7   29.9   42.7    117    225    400    389    282    121   70.8   57.9    150
---------------------------------------------------------------------------------------------------
Average:   36.3   31.0   35.9   59.1    106    228    412    441    317    155   81.1   50.3    163
---------------------------------------------------------------------------------------------------

