Station number: 445
Location:       Arughat                                                           Latitude: 28 02 37
River:          Burhi Gandaki                                                    Longitude: 84 48 59



                           MAXIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964       43.0   30.2   35.8    111   97.4    374    570    586    650    263    111   65.0    650
1965       39.0   31.8   31.0    130    173    424    692    797    420    173    119   70.0    797
1966       48.0   48.0   50.0    114    146    478    735    690    434    167   85.0   53.0    735
1967       33.4   25.4   31.8   84.0   71.0    200    823    539    341    150   94.0   42.4    823
1968       31.7   32.4   85.0   90.0    109    400    570   ...    ...    ...    ...    ...    ... 
1969       44.0   34.4   45.6    101    154    222    500    466    383    188   85.0   55.2    500
1970       39.2   35.2   48.8    153    146    528    460    516    314    255    126   84.0    528
1971       43.0   36.0   48.4   87.8    147    452    452    452    370    316    124   73.5    452
1972       46.2   38.0   61.0   93.0    190    323    574    568    416    208    152   93.0    574
1973       51.7   44.0   96.9    141    246    700    446    470    464    524    137   73.0    700
1974       44.0   34.2   38.2    103    134    530    550    805    366    215    125   67.0    805
1975       53.3   42.5   53.3    127    200    480    562    590    394    329    135   81.5    590
1976       43.4   33.8   52.4   93.0    164    474    430    494    396    193    124   73.0    494
1977       37.8   34.3   56.1   69.3    139    341    607    563    443    190    132   75.9    607
1978       43.2   40.5   72.6    131    209    490    515    573    381    435    132   83.0    573
1979       46.0   43.2   40.5    142    207    435    617    532    439    183    102   72.6    617
1980       38.7   32.6   66.0    105    134    465    587    620    459    202    117   70.4    620
1981       48.0   43.2   47.0    127    185    461    582    570    500    243    108   62.7    582
1982       45.0   42.3   86.6    122    166    403    505    547    517    188   96.2   60.5    547
1983       42.3   34.3   43.2   83.0    165    351    532    483    520    447    128   72.6    532
1984       46.0   36.0   54.0   66.0    185    315    555    471    650    279    102   54.0    650
1985       36.9   39.1   45.3   72.6    121    274    508    453    431    412    147   73.6    508
1986       43.7   34.7   49.4   82.1   89.7    485    555    490    410    206   98.7   56.4    555
1987       39.1   37.7   46.2    147    130    390    662    616    453    217    110   73.6    662
1988       38.4   29.3   43.7   84.2    160    319    563    689    453    188   88.6   79.9    689
1989       94.2   47.8   57.2   76.7    394    422    545    511    532    328    100   56.0    545
1990       39.1   39.8   78.9    104    180    384    604    630    477    237   95.6   57.7    630
1991       43.4   31.1   54.4   84.0    189    334    506    665    599    198   82.0   50.2    665
1992       35.6   33.7   45.6   66.4    110    338    484    801    427    198   87.0   51.0    801
1993       37.7   36.3   34.3   98.8    146    367    529    830    602    262   98.8   59.4    830
1994       37.2   51.8   54.1   49.8    159    459    627    566    439    181   77.6   46.5    627
1995       34.0   35.4   97.8    136    529    683    575    630    433    184    237   56.4    683
1996       41.7   58.3   57.7   91.0    190    511    660    843    598    239   96.6   57.7    843
1997       43.3   41.2   59.4   59.8    129    538    556    650    374    141   67.3   89.4    650
1998       51.7   48.8   64.2    128    220    543    814    903    551    312   84.0   44.9    903
1999       31.4   22.2   30.5   72.2    259    843   1460    679    653    410    123   67.3   1460
2000       39.1   29.8   50.3   78.5    277    869    792    906    666    229   96.2   54.3    906
2001       42.8   39.0   37.3   60.7    200    534    700    772    490    210   89.0   55.3    772
2002       50.0   42.0   52.1    107    297    403    631    687    474    220   93.5   65.0    687
2003       47.8   42.5   56.8    112    142    540    772    770    646    234    104   55.5    772
2004       39.1   33.3   60.3   55.5    179    404    580    631    401    308    105   56.0    631
2005       44.6   31.3   43.7   81.2    133    301    573    620    356    179   93.4   53.5    620
2006       35.2   32.6   48.5   58.0    224    457    584    557    456    183   80.3   62.8    584
---------------------------------------------------------------------------------------------------
Extreme:   94.2   58.3   97.8    153    529    869   1460    906    666    524    237   93.0   1460
---------------------------------------------------------------------------------------------------

