Station number: 445
Location:       Arughat                                                           Latitude: 28 02 37
River:          Burhi Gandaki                                                    Longitude: 84 48 59



                           MINIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1964       30.2   24.6   25.4   31.0   32.6   75.0    259    254    245    112   65.0   40.0   24.6
1965       29.4   24.6   23.0   27.0    117    131    300    356    167   98.6   70.0   44.0   23.0
1966       34.2   32.6   30.2   35.0   71.0    114    227    396    173   86.0   53.0   33.4   30.2
1967       24.6   21.6   20.9   28.8   38.5   95.0    229    286    155   97.3   42.4   31.7   20.9
1968       25.0   22.0   23.0   34.0   74.0   94.0    303   ...    ...    ...    ...    ...    ... 
1969       34.4   29.9   29.2   33.6   43.2    146    196    267    191   86.0   56.0   40.0   29.2
1970       32.0   27.8   27.1   32.8   61.0   82.0    220    302    243    128   84.0   65.0   27.1
1971       35.0   28.6   26.8   41.0   69.6    190    314    268    168    127   73.5   46.2   26.8
1972       28.6   25.0   35.0   42.0   62.2    131    223    320    183    137   93.0   52.8   25.0
1973       42.0   36.0   39.0   72.2   87.8    131    306    356    242    145   73.0   44.0   36.0
1974       35.0   31.0   28.6   32.6   54.0   95.0    194    340    221    128   68.0   42.0   28.6
1975       38.9   37.1   40.7   45.2   91.8    119    340    326    335    133   83.7   43.4   37.1
1976       33.8   31.2   29.5   30.4   72.0    144    256    326    199    126   75.0   39.8   29.5
1977       28.4   26.9   25.4   31.8   51.0    110    331    405    196    125   79.4   41.4   25.4
1978       33.5   28.4   33.5   34.3    111    185    325    331    223    136   68.2   47.0   28.4
1979       34.3   27.6   27.6   42.3   72.6   91.4    243    341    166    104   67.1   38.7   27.6
1980       29.3   26.1   30.1   42.3   95.0    114    339    345    214    121   70.4   49.0   26.1
1981       38.7   37.8   36.0   48.0    102    144    339    375    233    110   61.6   42.3   36.0
1982       34.3   30.1   35.2   77.0   95.0    162    245    309    199   98.6   60.5   43.2   30.1
1983       34.3   28.4   26.9   35.2   63.8    111    196    309    255    132   74.8   47.0   26.9
1984       35.2   30.1   31.8   34.3   54.0    178    231    281    279    106   55.0   36.9   30.1
1985       29.3   27.4   36.2   37.7   42.1   85.3    219    276    211    154   73.6   48.6   27.4
1986       34.0   28.0   28.0   32.0   53.7   60.9    315    285    206   98.7   55.5   39.1   28.0
1987       33.4   29.3   28.0   45.3   54.6    135    278    321    158    111   59.0   37.7   28.0
1988       28.0   25.6   25.6   34.7   67.6    117    270    374    189   90.8   52.8   40.6   25.6
1989       39.1   33.4   38.4   53.7   64.7    131    272    332    346    102   56.8   39.1   33.4
1990       34.3   28.0   27.5   31.1   62.9    169    296    304    248   98.8   58.5   38.4   27.5
1991       31.1   26.3   25.7   37.0   75.9    101    271    397    204   84.0   51.9   36.3   25.7
1992       28.6   24.0   28.6   30.5   47.2   84.0    167    326    192   88.1   51.9   36.3   24.0
1993       29.2   24.6   22.4   26.9   79.9    128    246    361    277   98.8   58.5   37.0   22.4
1994       29.4   24.0   25.3   32.2   36.1    130    269    309    188   80.6   46.9   34.0   24.0
1995       28.1   27.0   25.1   36.4   94.2    214    333    383    192   84.3   57.7   38.6   25.1
1996       32.5   29.9   34.9   43.1   81.6   94.1    263    372    211   96.6   58.4   43.5   29.9
1997       31.1   27.0   30.4   32.8   51.9   77.8    324    243    156   67.6   43.1   37.7   27.0
1998       44.1   41.0   42.0   49.7   85.7    163    324    369    234   86.3   45.5   31.1   31.1
1999       22.5   20.3   21.2   25.6   42.5   51.9    282    489    297    122   69.0   40.0   20.3
2000       30.0   27.0   25.8   49.3   69.7    155    340    432    243   98.4   56.3   41.5   25.8
2001       33.3   28.7   26.8   30.3   60.7    106    320    343    190   90.3   55.7   36.3   26.8
2002       30.5   27.7   28.4   34.7   60.7   99.9    312    356    213   94.2   65.7   44.5   27.7
2003       34.9   30.7   32.7   52.8   54.0    132    368    379    255   97.0   56.0   41.0   30.7
2004       29.6   26.9   26.3   31.5   38.4   95.6    250    342    226    107   56.8   37.7   26.3
2005       30.3   26.5   29.4   32.4   53.0   ...     272    312    159   95.6   54.4   34.1   ... 
2006       28.0   26.7   26.9   32.4   60.4    137    288    288    187   82.2   62.2   53.7   26.7
---------------------------------------------------------------------------------------------------
Extreme:   22.5   20.3   20.9   25.6   32.6   51.9    167    243    155   67.6   42.4   31.1   20.3
---------------------------------------------------------------------------------------------------

