Station number: 447
Location:       Betrawati                                                         Latitude: 27 58 08
River:          Trishuli                                                         Longitude: 85 11 00



                           AVERAGE MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1977       49.1   46.9   51.2   58.0   86.4    204    561    574    361    179    107   67.0    195
1978       47.0   43.6   45.4   61.3    166    337    501    586    336    228    122   77.9    213
1979       53.3   42.8   43.4   54.7    105    198    442    451    267    144   87.6   56.0    162
1980       42.0   38.2   38.8   60.3   84.8    262    575    588    355    168   99.9   65.5    198
1981       48.5   42.1   43.0   56.1   93.3    274    615    539    339    148   95.6   62.2    196
1982       49.0   45.7   62.5   82.7   89.7    212    369    520    357    129   85.6   60.1    172
1983       45.8   40.3   42.0   44.2   77.2    165    345    448    394    200    104   67.0    164
1984       52.4   38.8   39.7   39.9    113    283    536    386    317    118   82.2   64.7    173
1985       52.5   50.7   58.4   62.2   69.5    141    361    320    337    200   96.1   68.7    151
1986       51.9   51.0   50.4   63.3   78.5    293    599    519    407    174    102   67.3    205
1987       50.8   45.8   44.3   58.1   82.5    235    512    577    333    154   96.2   69.7    188
1988       55.3   49.6   51.1   66.4    108    234    595    682    336    142   85.5   65.1    206
1989       57.7   48.4   49.7   62.7    142    245    451    542    370    157   79.6   56.3    188
1990       46.9   40.9   39.1   55.5    118    396    904    746    556    221   99.8   69.2    274
1991       57.2   49.6   49.6   56.6    113    285    595    904    611    208   90.2   64.8    257
1992       52.2   44.5   43.8   52.0   62.3    160    408    814    508    184   87.6   61.0    207
1993       50.5   46.6   41.8   55.7    110    256    547    837    522    220   89.2   61.5    237
1994       47.0   40.3   42.1   41.4   79.3    324    557    657    448    150   79.7   57.8    209
1995       42.5   36.2   38.8   60.3                  515                  179   116    64.4    246
1996       53.0   46.9   53.1   61.1    121    294    626    825    498    189   90.1   61.7    243
1997       49.6   45.2   43.8   49.0   68.4    213    573    565    374    113   66.3   56.5    185
1998       44.7   40.2   41.8   57.4    150    350    755    871    421    176   72.9   53.5    253
1999       43.9   38.0   36.6   51.7   86.0    242    790    779    594    269   92.9   61.7    257
2000       48.9   42.0   38.7   48.8    106    399    707    869    635    169   79.1   54.7    266
2001       43.1   39.0   34.6   36.9   72.8    366    669    756    443    148   70.2   50.6    228
2002       65.2   56.3   43.3   88.6    193    333    649    846    496    211   88.0   61.6    261
2003       47.6   41.3   41.3   57.8   84.3    314    722    869    722    234    103   64.3    275
2004       49.3   39.0   43.1   51.4    113    332    697    875    566    290   97.1   63.5    268
2005       52.4   54.1   53.6   63.5    105    251    725    867    471    248   86.4   49.1    252
2006       45.3   41.7   36.2   41.2    125    336    666    463    323    157   78.6   52.9    197
---------------------------------------------------------------------------------------------------
Average:   50.0   44.4   44.9   56.5    107    279    589    668    437    183   90.5   61.7    218
---------------------------------------------------------------------------------------------------

