Station number: 447
Location:       Betrawati                                                         Latitude: 27 58 08
River:          Trishuli                                                         Longitude: 85 11 00



                           MAXIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1977       54.4   53.3   62.2   87.6    173    428    709    750    487    272    140   82.7    750
1978       54.4   50.2   58.1   99.3    260    586    613    824    421    516    157   97.6    824
1979       63.6   54.4   46.0   94.3    138    402    924    675    417    198    104   78.1    924
1980       48.1   43.1   41.8    112    118    577    884    924    504    257    119   78.1    924
1981       55.4   45.0   46.0   81.2    136    586    735    670    651    218    125   73.6    735
1982       52.3   51.2   82.7   89.2    138    335    573    714    577    173    103   67.6    714
1983       53.3   43.0   45.0   58.1    117    362    459    573    525    328    132   89.2    573
1984       63.6   41.0   43.0   50.2    221    348    689    636    573    163   91.7   75.4    689
1985       57.3   57.3   61.8   85.0   95.2    312    505    447    568    463    124   76.5    568
1986       57.9   55.0   55.0   85.1   97.7    709    786    730    829    243    131   83.3    829
1987       59.3   49.3   57.9   94.1    129    362    760    941    591    237    114   78.1    941
1988       59.3   52.2   57.9   70.0    252    421    786    878    613    195    108   81.5    878
1989        102   56.5   59.3   71.6    421    618    618    714    537    287   99.3   63.6    714
1990       52.3   47.1   52.3   82.7    200    665   1350    941    862    355    129   79.5   1350
1991       63.7   53.1   59.9   75.4    208    448    867   1090    958    322    115   71.3   1090
1992       56.5   52.2   48.2   62.7   81.7    380    725   1380    760    306    110   70.3   1380
1993       55.3   49.7   45.2   93.7    155    416    935   1840    778    370    117   71.0   1840
1994       51.6   45.6   53.9   54.5    166    635   1050    841    728    257   93.0   63.1   1050
1995       50.0   44.2   73.3    117    576    779    978    996    585    276    643   68.8    996
1996       66.4   50.2   62.6   91.0    223    640   1000   1630    816    379    112   70.1   1630
1997       54.8   47.4   47.2   62.6   94.5    609    849    932    552    204   74.7   89.4    932
1998       50.2   43.2   58.7   82.7    272    829   1010   1300    866    381    100   59.6   1300
1999       48.0   40.0   44.2   73.1    235    819   1250    966    853    477    128   72.0   1250
2000       54.7   44.4   45.6   53.8    240    764   1310   1500    974    268   98.6   61.0   1500
2001       52.2   42.0   36.6   47.0    109    758    981   1120    694    244   86.0   56.8   1120
2002       78.0   60.4   48.1    127    431    606    847   1400    743    347    119   72.7   1400
2003       57.2   52.2   55.8   74.2    177    636   1200   1380   1100    394    148   78.1   1380
2004       58.9   45.2   57.7   66.3    291    773   1030   1020    810    497    152   75.0   1030
2005       64.7   60.4   63.2   92.7    177    466   1260   1140    701    367    157   63.4   1260
2006       58.3   43.8   44.8   48.1    357    606   1120    764    491    258    104   59.2   1120
---------------------------------------------------------------------------------------------------
Extreme:    102   60.4   82.7    127    576    829   1350   1840   1100    516    643   97.6   1840
---------------------------------------------------------------------------------------------------

