Station number: 447
Location:       Betrawati                                                         Latitude: 27 58 08
River:          Trishuli                                                         Longitude: 85 11 00



                           MINIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1977       44.0   43.0   46.0   50.2   58.1    123    436    432    257    132   87.6   54.4   43.0
1978       42.0   39.0   42.0   42.0   97.6    190    376    366    240    157   94.3   63.6   39.0
1979       44.0   40.0   40.0   42.0   81.2    106    213    290    166    106   73.3   48.1   40.0
1980       39.3   35.7   33.6   40.6   63.6    106    366    243    254    119   79.6   54.4   33.6
1981       44.0   39.0   39.0   41.0   66.3    106    444    413    193    127   75.1   52.3   39.0
1982       46.0   43.0   50.2   75.1   76.6    142    173    425    173    101   69.0   52.3   43.0
1983       41.0   38.0   40.0   40.0   49.2   94.3    240    348    266    119   84.2   54.4   38.0
1984       39.0   37.0   37.0   36.0   39.0    200    369    258    170   92.9   75.4   57.3   36.0
1985       49.0   48.2   53.9   54.8   59.0   85.0    276    254    221    126   78.1   57.9   48.2
1986       48.1   46.8   46.8   48.1   62.2   83.3    387    391    243    133   81.5   56.5   46.8
1987       45.6   43.1   39.3   50.7   56.5    148    290    425    200    116   78.1   57.9   39.3
1988       49.3   45.6   48.1   59.3   68.4    110    338    496    208    110   71.6   57.9   45.6
1989       52.2   44.3   43.1   53.6   63.6    133    312    428    296    101   63.6   52.3   43.1
1990       42.0   38.0   36.0   36.0   58.1    208    573    591    366    133   80.6   61.8   36.0
1991       53.9   47.4   46.7   48.2   67.4    108    387    680    318    116   72.3   57.3   46.7
1992       48.2   40.7   40.7   41.4   53.1   74.4    193    555    281    110   69.3   54.8   40.7
1993       47.7   43.1   38.0   39.8   79.1    146    350    566    385    118   65.5   53.3   38.0
1994       43.8   38.7   37.5   37.5   38.9    128    355    510    266   96.2   62.6   50.0   37.5
1995       43.8   41.2   40.0   43.6   73.3    252    457    514    274   99.0   68.8   54.9   40.0
1996       50.2   44.0   46.4   49.8   77.8   82.0    336    513    289    110   69.6   53.4   44.0
1997       46.0   43.4   41.0   42.8   55.2   68.9    412    332    208   79.0   56.8   50.4   41.0
1998       40.4   37.8   38.6   45.6   70.4    167    497    539    277    101   59.6   48.0   37.8
1999       40.4   36.4   34.8   37.0   50.4   64.7    351    628    427    131   71.2   55.2   34.8
2000       43.6   40.4   36.6   43.4   52.4    125    430    640    301   99.8   61.7   50.0   36.6
2001       39.8   36.6   33.3   32.3   44.2   92.5    387    535    226   88.7   57.5   44.6   32.3
2002       58.9   46.8   40.2   43.6   90.4    162    490    612    364    123   73.7   52.9   40.2
2003       44.1   37.6   37.0   48.4   54.3    127    450    680    401    148   77.4   54.0   37.0
2004       45.5   34.0   33.6   40.6   48.3    132    372    699    398    156   74.7   53.2   33.6
2005       45.2   50.3   49.7   49.2   62.8    112    443    632    340    165   63.7   39.6   39.6
2006       35.1   38.3   32.2   32.2   61.1    228    413    313    226    111   57.3   48.9   32.2
---------------------------------------------------------------------------------------------------
Extreme:   35.1   34.0   32.2   32.2   38.9   64.7    173    243    166   79.0   56.8   39.6   32.2
---------------------------------------------------------------------------------------------------

