Station number: 450
Location:       Narayan Ghat                                                      Latitude: 27 42 30
River:          Narayani                                                         Longitude: 84 25 50



                           AVERAGE MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1963        465    351    290    408    698   1700   3760   5160   3720   1700   1070    807   1680
1964        448    366    296    369    510   1330   3980   4310   3470   1740    931    559   1520
1965        417    313    263    417    566   1460   2890   4470   2740   1290    894    517   1350
1966        386    325    270    285    545   1270   3360   5230   3270   1300    778    509   1460
1967        381    305    290    380    508   1340   3670   3900   2850   1430    730    472   1350
1968        362    290    299    332    560   1840   4350   4020   3010   2740    995    591   1620
1969        435    339    331    355    523   1290   3000   3920   3560   1500    779    472   1380
1970        337    274    242    346    518   1780   4610   4850   2740   1620    822    500   1550
1971        359    282    269    424    662   2850   4070   4520   2850   2030   1130    592   1670
1972        435    349    310    318    733   1520   4350   3930   2920   1460    885    524   1480
1973        407    324    345    485    822   2260   3050   4410   3900   3250   1070    561   1740
1974        398    298    257    356    500   1200   3880   5380   2950   1510    806    504   1500
1975        403    356    292    373    631   2890   4570   4080   4460   1870    919    553   1780
1976               316    330    354    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1977        341    300    277    583    814   1520   4210   6820   2880   1220    734    433   1680
1978        334    273    283    418   1130   2580   5160   5110   3110   1880    953    589   1820
1979        416    355    288    387    597   1210   3510   4610   2510   1240    590    387   1340
1980        247    191    189    257    434   1720   4370   4800   3840   1400    657    371   1540
1981        261    209    189    329    587   1450   4340   4850   3350   1580    749    412   1520
1982        311    274    306    435    524   1780   3460   4470   3280   1160    627    373   1420
1983        260    206    189    200    515    925   3130   3980   4220   2080    882    459   1420
1984        316    223    198    209    707   2000   5080   4000   4300   1350    669    416   1620
1985        301    246    253    266    391   1160   4410   3800   3760   2000    964    527   1510
1986        353    262    224    296    391   1970   4270   3740   4200   1790    877    561   1580
1987        387    320    298    381    495   1460   4840   4990   2870   1440    887    577   1580
1988        405    340    332    415    698   1470   4740   6190   3400   1380    799    585   1730
1989        563    436    424    464    940   1870   4040   5390   3280   1530    812    531   1690
1990        407    360    366    463    746   1920   4750   4210   2960   1490    773    494   1580
1991        394    310    305    348    654   1640   3300   4750   3860   1360    689    463   1510
1992        375    310    282    298    403   1000   2300   4460   2800   1400    705    441   1230
1993        334    297    248    329    653   1440   3090   5140   3740   1700    823    475   1520
1994        363    307    300    350    651   1920   3320   4140   3090   1260    612    392   1390
1995        304    258    267    323   1040   3220   5010   4500   2730   1400    875    486   1700
1996        376    338    335    333    627   1710   4240   5280   3500   1750    820    481   1650
1997        361    294    286    346    475   1310   4000   3770   2420   1120    639    609   1300
1998        368    288    304    433   1060   2090   5220   6630   3680   1800    890    569   1940
1999        435    343    300    397    814   2040   4690   5270   3840   2120    992    644   1820
2000        458    354    265    390    919   2980   4460   5430   4050   1420    766    464   1830
2001        355    305    242    277    619   2100   3890   5490   3540   1470    776    506   1630
2002        347    288    264    358    757   1640   4520   4710   2460   1170    604    393   1460
2003        299    307    266    337    439   1520   4970   4640   3990   1430    751    491   1620
2004        377    294    289    359    646   1670   3920   3980   2990   1630    724    464   1450
2005        360    277    251    290    508   1070   3720   4230   2210   1300    726    410   1280
2006        293    248    219    255    714   1530   3390   3180   2690   1080    556    369   1210
---------------------------------------------------------------------------------------------------
Average:    371    302    279    358    645   1740   4040   4670   3300   1590    808    501   1550
---------------------------------------------------------------------------------------------------

