Station number: 450
Location:       Narayan Ghat                                                      Latitude: 27 42 30
River:          Narayani                                                         Longitude: 84 25 50



                           MAXIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1963        590    400    330    580    984   3110   5370   6700   5280   2670   1360    960   6700
1964        570    418    329    526    679   2540   6860   6810   5580   2600   1280    656   6860
1965        481    390    312    616    738   2720   4440   7070   3780   1710   1440    622   7070
1966        511    486    320    366    793   2380   5000   7980   6440   1720    936    600   7980
1967        433    353    357    720    685   2100   7150   4890   3430   2990    909    578   7150
1968        406    362    411    424    726   3300   8780   4750   4320   9360   1300    714   9360
1969        491    375    457    526    862   1680   4700   5460   4530   2340    998    578   5460
1970        388    341    277    662    818   6110   8800   7110   3460   2500   1170    594   8800
1971        424    304    304    756    909   4620   5520   7090   4050   2970   1680    799   7090
1972        506    457    393    397   1460   4840   8720   6470   5860   2980   2110    639   8720
1973        442    447    433    780   1370   5000   5500   6160   7360   8230   1510    725   8230
1974        449    335    297    518    645   3130   7250  14000   4750   2060   1080    599  14000
1975        437    415    359    616    926   9770   7640  10500   8880   2740   1090    667  10500
1976       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1977        359    315    305    777   1440   2480   5520  10700   6380   1790   1300    523  10700
1978        389    347    394    645   1690   5020   8500   7960   4530   3070   1290    793   8500
1979        476    436    314    584   1380   2740   7750   7950   4700   1810    811    752   7950
1980        318    218    250    565    665   5220   7550   7000   8160   2160    856    475   8160
1981        320    245    260    713   1180   4040   8220   8290   8780   3060   1090    510   8780
1982        420    337    451    593    776   2590   5380   6880   7740   1670    795    453   7740
1983        305    238    212    369    820   2590   9300   5730   6130   4310   1240    587   9300
1984        380    253    236    378   1350   2820   7220   6560   8910   1980    881    498   8910
1985        350    269    314    518    648   2570   6360   5700   5920   3670   1360    780   6360
1986        503    301    272    425    633   5480   6860   5150  10100   2960   1120    744  10100
1987        455    360    368    622    743   3090  10800   8410   5530   2870   1150    763  10800
1988        468    358    403    509   1160   2350   6680  11400   6870   1930    996    876  11400
1989       1220    497    468    550   2000   3570   7770   7420   4360   2470   1000    638   7770
1990        459    478    510    793   1320   2980   7880   7860   5440   2160    975    612   7880
1991        490    344    392    546   1060   2440   5470   6020   6460   1950    867    532   6460
1992        425    376    297    339    539   2220   3710   7900   3660   2100    917    539   7900
1993        376    329    351    598    923   2340   6330  10300   7750   2560   1080    603  10300
1994        427    383    403    598   1070   3600   6620   6130   4900   2130    804    489   6620
1995        338    298    498    682   2650   7910   9880   5400   4400   2220   2260    610   9880
1996        631    461    395    493   1000   3580   8470   9920   5820   3180   1120    589   9920
1997        417    338    376    545    671   3060   5180   6040   3160   1640    815   1460   6040
1998        453    320    532    700   1640   6040   9540   9070   7360   2690   1210    665   9540
1999        501    379    320    556   2080   7300   8180  12100   5930   3460   1280    822  12100
2000        523    380    300    513   2100   7320   5400   9180   6060   2110    998    558   9180
2001        404    341    264    403   1180   3080   8040  10900   5740   2080    964    624  10900
2002        438    340    312    485   1940   2760   8450   9180   4030   1840    720    478   9180
2003        380    403    340    505    623   4760  11300   7930   6990   2340    973    608  11300
2004        457    350    340    558   1530   3240   5840   7020   5040   3160    939    573   7020
2005        426    359    345    557    801   2260   5200   7590   3370   2500   1000    508   7590
2006        351    285    330    369   2040   2860   5200   5480   4780   1580    727    442   5480
---------------------------------------------------------------------------------------------------
Extreme:   1220    497    532    793   2650   9770  11300  14000  10100   9360   2260   1460  14000
---------------------------------------------------------------------------------------------------

