Station number: 450
Location:       Narayan Ghat                                                      Latitude: 27 42 30
River:          Narayani                                                         Longitude: 84 25 50



                           MINIMUM MONTHLY AND YEARLY DISCHARGE (in m3/s)
                           ==============================================

Year       Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec.   Year
1963        400    300    270    300    424   1150   2640   3870   2760   1210    978    282    270
1964        407    300    277    289    371    411   2260   3090   2750   1180    644    486    277
1965        371    269    237    281    411    691   2350   3290   1760    991    639    433    237
1966        333    296    244    234    362    726   2040   3610   1770    943    611    442    234
1967        312    269    248    255    371    644   1950   3140   2050    922    583    402    248
1968        312    262    224    259    420    702   2800   3160   2400   1310    726    496    224
1969        379    304    293    273    316    628   1400   2930   2500   1010    589    379    273
1970        304    251    217    214    375    393   2220   3120   2290   1190    611    420    214
1971        312    259    251    266    521   1080   3210   3170   2150   1670    805    452    251
1972        375    304    277    273    320    732   1770   2600   1880    963    639    442    273
1973        362    285    277    362    552    756   2110   3000   2600   1490    744    449    277
1974        343    255    223    269    389    467   2190   2940   1990   1080    577    424    223
1975        372    305    255    269    410    509   3450   2750   2200   1170    679    475    255
1976       ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ... 
1977        315    276    262    351    667    884   2420   4620   1630    817    498    351    262
1978        279    249    235    272    645   1390   3600   2880   2380   1320    662    486    235
1979        355    310    260    298    386    440   1820   3560   1320    817    465    288    260
1980        199    178    163    168    192    495   2590   2980   2180    899    487    288    163
1981        214    187    163    202    400    607   2670   3660   1910   1010    528    341    163
1982        263    235    242    351    387    719   1570   3260   1780    786    455    305    235
1983        227    184    170    169    288    450   1500   3250   2600   1270    601    375    169
1984        255    191    172    160    244   1040   3200   3020   2030    897    498    335    160
1985        256    226    208    202    261    574   2080   2970   2490   1380    655    401    202
1986        279    226    188    191    294    343   2180   2800   2850   1150    651    467    188
1987        336    291    241    307    372    833   2740   3560   1770   1160    687    468    241
1988        348    320    307    318    425    685   2110   4160   1980   1010    629    497    307
1989        488    397    393    414    427   1080   2720   3860   2520   1040    644    454    393
1990        373    326    323    315    430   1010   2130   2990   2250   1000    563    410    315
1991        340    281    271    290    406    542   2340   3010   2030    898    541    406    271
1992        328    276    258    245    331    439   1230   2700   1760    932    544    364    245
1993        300    255    214    224    470    734   2330   3800   2440   1090    618    388    214
1994        329    275    246    247    353    797   2310   2880   1890    867    474    329    246
1995        261    236    218    226    404   1220   3200   3710   2080    957    620    369    218
1996        340    300    287    287    412    560   2070   3500   2090   1150    593    396    287
1997        323    263    249    273    403    504   2540   2410   1710    841    516    425    249
1998        325    259    254    321    532   1060   3730   3750   2360   1220    702    481    254
1999        377    314    284    299    430    558   3000   3120   2940   1280    815    521    284
2000        383    263    252    334    394   1190   3090   3810   2290   1000    564    409    252
2001        312    270    223    212    370    657   2200   3410   1930    982    631    410    212
2002        315    251    237    278    332    693   2710   3060   1750    702    468    316    237
2003        255    239    219    264    246    657   3370   3380   2560    949    573    405    219
2004        321    256    258    244    300    866   2100   2840   1950    878    545    362    244
2005        318    244    231    201    310    488   2090   2750   1480    920    517    328    201
2006        247    228    163    173    290    844   1970   2110   1740    697    433    308    163
---------------------------------------------------------------------------------------------------
Extreme:    199    178    163    160    192    343   1230   2110   1320    697    433    282    160
---------------------------------------------------------------------------------------------------

